"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
нет_данных;нет данных;нет_данных;не_является_донором;без_бонусов;0;0;50;49346;27670;33778
нет_данных;нет данных;Россия, Москва;не_является_донором;без_бонусов;0;0;820;26785;16801;14289
Женский;от_18_до_30;нет_данных;не_является_донором;без_бонусов;0;0;23;12607;1919;11778
Мужской;от_18_до_30;нет_данных;не_является_донором;без_бонусов;0;0;7;8205;1642;7617
Женский;от_30_до_40;нет_данных;не_является_донором;без_бонусов;0;0;7;7915;692;7716
Мужской;от_30_до_40;нет_данных;не_является_донором;без_бонусов;0;0;13;7517;944;7276
нет_данных;нет данных;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;279;7024;5818;4662
Мужской;от_40_до_50;нет_данных;не_является_донором;без_бонусов;0;0;3;4438;259;4379
Женский;от_40_до_50;нет_данных;не_является_донором;без_бонусов;0;0;5;4365;204;4302
нет_данных;нет данных;Украина, Киевская область, Киев;не_является_донором;без_бонусов;0;0;24;2989;2409;2178
нет_данных;нет данных;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;255;2633;1990;1917
нет_данных;нет данных;Россия, Москва;является донором;без_бонусов;5964;0;123;2358;1665;2121
нет_данных;нет данных;Россия, Новосибирская область, Новосибирск;не_является_донором;без_бонусов;0;0;64;1740;1430;1230
нет_данных;нет данных;Россия, Свердловская область, Екатеринбург;не_является_донором;без_бонусов;0;0;69;1570;1347;1195
нет_данных;нет данных;Беларусь, Минская область, Минск;не_является_донором;без_бонусов;0;0;7;1568;1441;1225
Женский;от_50_до_60;нет_данных;не_является_донором;без_бонусов;0;0;0;1414;55;1394
Мужской;от_50_до_60;нет_данных;не_является_донором;без_бонусов;0;0;0;1399;61;1380
нет_данных;нет данных;Россия, Башкортостан, Уфа;не_является_донором;без_бонусов;0;0;195;1382;1118;982
нет_данных;нет данных;Россия, Санкт-Петербург;является донором;без_бонусов;3249;0;71;1376;1142;1221
Женский;от_18_до_30;Россия, Москва;не_является_донором;без_бонусов;0;0;172;1373;480;1215
нет_данных;нет данных;Россия, Красноярский край, Красноярск;не_является_донором;без_бонусов;0;0;114;1194;1009;855
нет_данных;нет данных;Россия, Ростовская область, Ростов-на-Дону;не_является_донором;без_бонусов;0;0;52;1085;863;768
нет_данных;нет данных;Россия, Пермский край, Пермь;не_является_донором;без_бонусов;0;0;21;1062;907;758
нет_данных;нет данных;Россия, Краснодарский край, Краснодар;не_является_донором;без_бонусов;0;0;82;1017;821;770
нет_данных;нет данных;Россия, Ярославская область, Ярославль;не_является_донором;без_бонусов;0;0;55;951;787;640
нет_данных;нет данных;Россия, Омская область, Омск;не_является_донором;без_бонусов;0;0;25;936;799;669
Женский;от_18_до_30;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;143;890;353;799
Мужской;от_18_до_30;Россия, Москва;не_является_донором;без_бонусов;0;0;146;858;362;779
Женский;нет данных;нет_данных;не_является_донором;без_бонусов;0;0;3;830;164;498
нет_данных;нет данных;Россия, Самарская область, Самара;не_является_донором;без_бонусов;0;0;82;828;701;530
нет_данных;нет данных;Украина, Харьковская область, Харьков;не_является_донором;без_бонусов;0;0;5;817;736;593
Женский;от_30_до_40;Россия, Москва;не_является_донором;без_бонусов;0;0;171;815;190;779
нет_данных;нет данных;Россия, Челябинская область, Челябинск;не_является_донором;без_бонусов;0;0;63;814;689;548
Мужской;нет данных;нет_данных;не_является_донором;без_бонусов;0;0;5;794;134;559
Мужской;от_30_до_40;Россия, Москва;не_является_донором;без_бонусов;0;0;185;770;249;734
нет_данных;нет данных;Казахстан, Алма-Ата;не_является_донором;без_бонусов;0;0;28;761;633;550
нет_данных;нет данных;Россия, Волгоградская область, Волгоград;не_является_донором;без_бонусов;0;0;18;753;614;527
нет_данных;нет данных;Россия, Воронежская область, Воронеж;не_является_донором;без_бонусов;0;0;31;749;624;528
нет_данных;нет данных;Россия, Нижегородская область, Нижний Новгород;не_является_донором;без_бонусов;0;0;21;714;606;489
нет_данных;нет данных;Украина, Одесская область, Одесса;не_является_донором;без_бонусов;0;0;1;664;592;480
Женский;от_18_до_30;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;58;663;264;564
нет_данных;нет данных;Россия, Тверская область, Тверь;не_является_донором;без_бонусов;0;0;46;655;559;474
нет_данных;нет данных;Россия, Татарстан, Казань;является донором;без_бонусов;1667;0;47;617;476;556
нет_данных;нет данных;Россия, Белгородская область, Белгород;не_является_донором;без_бонусов;0;0;26;616;534;392
нет_данных;нет данных;Украина, Днепропетровская область, Днепропетровск;не_является_донором;без_бонусов;0;0;2;588;523;417
нет_данных;нет данных;Россия, Рязанская область, Рязань;не_является_донором;без_бонусов;0;0;20;580;500;348
нет_данных;нет данных;Россия, Тюменская область, Тюмень;не_является_донором;без_бонусов;0;0;43;555;458;389
нет_данных;нет данных;Россия, Кемеровская область, Кемерово;не_является_донором;без_бонусов;0;0;27;550;475;402
Женский;от_18_до_30;Россия, Москва;является донором;без_бонусов;1969;0;284;528;313;489
Женский;от_30_до_40;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;142;510;182;488
Мужской;от_18_до_30;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;81;509;244;440
нет_данных;нет данных;Россия, Новосибирская область, Новосибирск;является донором;без_бонусов;1108;0;22;497;444;458
Мужской;от_30_до_40;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;190;491;206;463
нет_данных;нет данных;Россия, Томская область, Томск;не_является_донором;без_бонусов;0;0;35;485;421;357
нет_данных;нет данных;Россия, Алтайский край, Барнаул;не_является_донором;без_бонусов;0;0;19;482;415;335
Мужской;моложе_18;нет_данных;не_является_донором;без_бонусов;0;0;0;481;5;479
нет_данных;нет данных;Россия, Саратовская область, Саратов;не_является_донором;без_бонусов;0;0;35;459;377;337
нет_данных;нет данных;Россия, Кемеровская область, Новокузнецк;не_является_донором;без_бонусов;0;0;12;455;377;337
нет_данных;нет данных;_, Запорожская область, Запорожье;не_является_донором;без_бонусов;0;0;5;450;385;339
нет_данных;нет данных;Россия, Красноярский край, Красноярск;является донором;без_бонусов;1806;0;30;438;379;399
Женский;от_30_до_40;Россия, Москва;является донором;без_бонусов;2698;0;237;417;204;403
нет_данных;нет данных;Россия, Татарстан, Набережные Челны;не_является_донором;без_бонусов;0;0;51;414;280;308
